Company,City Latin Alphabet,Year,ROAA,ROAE,Equity to Assets Ratio,NPL,Total Assets,Loan Ratio,Total Customer Deposits,LLP,Deposit Ratio,SD of ROAA,Z Score
BANCO SANTANDER SA,SANTANDER-CANTABRIA,2023,0.65,11.06,5.63,3.13,"17,34,659",58.70,"9,66,353",2.18,0.557085283,0.538810078,2.454486129
BANCO SANTANDER SA,SANTANDER-CANTABRIA,2022,0.62,10.25,6.08,3.19,"15,95,835",60.04,"8,86,595",2.34,0.555568088,0.5156384,2.56499399
BANCO SANTANDER SA,SANTANDER-CANTABRIA,2021,-0.51,-7.63,6.05,3.26,"15,08,250",60.11,"8,14,967",2.54,0.540339466,0.520816203,2.365473161
BANCO SANTANDER SA,SANTANDER-CANTABRIA,2020,0.54,7.45,7.27,3.32,"15,22,695",61.56,"7,89,448",2.32,0.518454451,0.039745945,5.280863805
BANCO SANTANDER SA,SANTANDER-CANTABRIA,2019,0.64,8.70,7.36,3.70,"14,59,271",60.38,"7,40,899",2.58,0.50771858,0.033052813,5.488938785
BANCO SANTANDER SA,SANTANDER-CANTABRIA,2018,0.59,7.83,7.40,4.20,"14,44,305",58.17,"7,20,606",2.77,0.498929243,0.013739364,6.365249022
BANCO SANTANDER SA,SANTANDER-CANTABRIA,2017,0.56,7.43,7.67,4.04,"13,39,125",58.32,"6,57,770",3.03,0.491193877,0.010281306,6.651307766
CREDIT AGRICOLE,MONTROUGE,2023,0.37,6.48,5.77,2.12,"23,50,870",47.22,"10,91,465",1.76,0.464281309,0.080064283,4.340128185
CREDIT AGRICOLE,MONTROUGE,2022,0.44,7.65,5.75,2.02,"23,23,557",45.21,"10,42,442",1.77,0.448640597,0.083083109,4.311351142
CREDIT AGRICOLE,MONTROUGE,2021,0.25,4.19,5.70,2.37,"22,17,512",43.52,"9,61,913",1.99,0.433780291,0.074261738,4.383389164
CREDIT AGRICOLE,MONTROUGE,2020,0.40,6.59,6.04,2.47,"20,10,966",45.42,"8,53,914",2.04,0.424628761,0.003603939,7.488589048
CREDIT AGRICOLE,MONTROUGE,2019,0.41,6.70,6.05,2.64,"18,54,763",46.08,"7,88,935",2.23,0.425356231,0.041872779,5.038129759
CREDIT AGRICOLE,MONTROUGE,2018,0.40,6.65,6.11,3.09,"17,63,169",46.03,"7,30,623",2.44,0.414380584,0.041778113,5.049112166
