Company name Latin alphabet,"City
Latin Alphabet",Attribute,Date,Value
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average assets (ROAA),2023,0.646390596
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average assets (ROAA),2022,0.621954618
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average assets (ROAA),2021,-0.508620249
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average assets (ROAA),2020,0.544338869
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average assets (ROAA),2019,0.641622606
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average assets (ROAA),2018,0.58970407
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average assets (ROAA),2017,0.558784945
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average equity (ROAE),2023,11.06053289
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average equity (ROAE),2022,10.24870604
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average equity (ROAE),2021,-7.632401067
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average equity (ROAE),2020,7.445188515
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average equity (ROAE),2019,8.697722625
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average equity (ROAE),2018,7.833648321
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Return on average equity (ROAE),2017,7.432043365
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Equity to Assets Ratio,2023,5.625601343
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Equity to Assets Ratio,2022,6.081643779
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Equity to Assets Ratio,2021,6.054831759
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Equity to Assets Ratio,2020,7.267312233
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Equity to Assets Ratio,2019,7.357166695
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Equity to Assets Ratio,2018,7.396844849
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Equity to Assets Ratio,2017,7.669112293
BANCO SANTANDER SA,SANTANDER-CANTABRIA,NPL,2023,3.133469046
BANCO SANTANDER SA,SANTANDER-CANTABRIA,NPL,2022,3.18879605
BANCO SANTANDER SA,SANTANDER-CANTABRIA,NPL,2021,3.259190459
BANCO SANTANDER SA,SANTANDER-CANTABRIA,NPL,2020,3.31751184
BANCO SANTANDER SA,SANTANDER-CANTABRIA,NPL,2019,3.699698704
BANCO SANTANDER SA,SANTANDER-CANTABRIA,NPL,2018,4.198908839
BANCO SANTANDER SA,SANTANDER-CANTABRIA,NPL,2017,4.044531693
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total assets EUR,2023,1734659
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total assets EUR,2022,1595835
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total assets EUR,2021,1508250
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total assets EUR,2020,1522695
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total assets EUR,2019,1459271
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total assets EUR,2018,1444305
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total assets EUR,2017,1339125
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Loan Ratio,2023,58.69966374
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Loan Ratio,2022,60.04317489
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Loan Ratio,2021,60.11178518
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Loan Ratio,2020,61.56341224
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Loan Ratio,2019,60.38069694
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Loan Ratio,2018,58.16638452
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Loan Ratio,2017,58.3191263
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total customer deposits EUR,2023,966353
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total customer deposits EUR,2022,886595
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total customer deposits EUR,2021,814967
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total customer deposits EUR,2020,789448
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total customer deposits EUR,2019,740899
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total customer deposits EUR,2018,720606
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Total customer deposits EUR,2017,657770
BANCO SANTANDER SA,SANTANDER-CANTABRIA,LLP,2023,2.179219789
BANCO SANTANDER SA,SANTANDER-CANTABRIA,LLP,2022,2.340509237
BANCO SANTANDER SA,SANTANDER-CANTABRIA,LLP,2021,2.536466749
BANCO SANTANDER SA,SANTANDER-CANTABRIA,LLP,2020,2.317683775
BANCO SANTANDER SA,SANTANDER-CANTABRIA,LLP,2019,2.576996434
BANCO SANTANDER SA,SANTANDER-CANTABRIA,LLP,2018,2.770029883
BANCO SANTANDER SA,SANTANDER-CANTABRIA,LLP,2017,3.028835588
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Deposit Ratio,2023,0.557085283
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Deposit Ratio,2022,0.555568088
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Deposit Ratio,2021,0.540339466
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Deposit Ratio,2020,0.518454451
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Deposit Ratio,2019,0.50771858
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Deposit Ratio,2018,0.498929243
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Deposit Ratio,2017,0.491193877
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Standard deviation of ROAA,2023,0.538810078
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Standard Deviation of ROAA,2022,0.5156384
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Standard Deviation of ROAA,2021,0.520816203
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Standard Deviation of ROAA,2020,0.039745945
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Standard Deviation of ROAA,2019,0.033052813
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Standard Deviation of ROAA,2018,0.013739364
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Standard Deviation of ROAA,2017,0.010281306
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Z Score,2023,2.454486129
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Z Score,2022,2.56499399
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Z score,2021,2.365473161
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Z Score,2020,5.280863805
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Z Score,2019,5.488938785
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Z Score,2018,6.365249022
BANCO SANTANDER SA,SANTANDER-CANTABRIA,Z Score,2017,6.651307766
CREDIT AGRICOLE,MONTROUGE,Return on average assets (ROAA),2023,0.373393359
CREDIT AGRICOLE,MONTROUGE,Return on average assets (ROAA),2022,0.438354934
CREDIT AGRICOLE,MONTROUGE,Return on average assets (ROAA),2021,0.245620292
CREDIT AGRICOLE,MONTROUGE,Return on average assets (ROAA),2020,0.398579414
CREDIT AGRICOLE,MONTROUGE,Return on average assets (ROAA),2019,0.407359785
CREDIT AGRICOLE,MONTROUGE,Return on average assets (ROAA),2018,0.402178073
CREDIT AGRICOLE,MONTROUGE,Return on average assets (ROAA),2017,0.302305165
