Company,City,Year,Deposit Ratio,Equity to Assets Ratio,LLP,Loan Ratio,NPL,ROAA,ROAE,Standard Deviation of ROAA,Total Assets EUR,Total Customer Deposits EUR,Z-Score,Unnamed: 14,Unnamed: 15,Unnamed: 16,GDP,INF,month,GPR,GPRT,GPRA,Ln_Total Assets EUR,Ln_Equity to Assets Ratio,Ln_Loan Ratio,Ln_LLP,Ln_Deposit Ratio
AB SEB BANKAS,VILNIUS,2017,0.685338628,10.58879302,1.701905409,71.02223096,1.311633433,1.295230372,11.64012899,0.176225763,7517.939,5152.334,4.155551644,,,,3.413880947789474,1.650400191421053,2017-06-16 12:00:00,107.377311706543,117.4666633605957,93.90502103169759,8.925047310231136,2.3597961795578732,4.262992940144624,0.5317484522260296,-0.37784221542410007
AB SEB BANKAS,VILNIUS,2018,0.701189262,9.945707503,1.178997314,74.36328018,0.895074387,1.221325345,11.9002349,0.188388525,7717.641,5411.527,4.082214768,,,,2.726027871052632,1.703560482631579,2018-06-16 12:00:00,98.5529073079427,122.8477579752604,65.44431845347087,8.951264026374625,2.2971410513541763,4.3089622740374045,0.16466434335077285,-0.3549774398001751
AB SEB BANKAS,VILNIUS,2019,0.799589977,9.822986288,1.016920249,79.93789444,2.294095045,1.359139668,13.75118639,0.191677904,7856.623,6282.077,4.066255504,,,,2.222830119736842,1.440696388105263,2019-06-16 12:00:00,90.94625282287598,112.7704283396403,60.5952517191569,8.969112149334022,2.2847251787841945,4.381250013681853,0.01677869609580708,-0.2236562114519648
AB SEB BANKAS,VILNIUS,2020,0.820965445,9.17789849,0.843470795,73.39511422,1.803825279,1.432802458,15.1027462,0.087649278,8538.24,7009.6,4.79627492,,,,-4.894555993157895,0.3124536947368421,2020-06-16 08:00:00,77.29380416870117,97.4657351175944,49.32102219263712,9.052310176550387,2.2167982557676558,4.295857369644787,-0.17023000118769993,-0.19727425933142823
AB SEB BANKAS,VILNIUS,2021,0.838173351,8.572871548,1.042862724,56.78289471,1.764048094,0.992283118,11.21467755,0.192661829,10232.814,8576.872,3.904945582,,, ,6.936355121315789,2.564898000105263,2021-06-16 12:00:00,82.07023620605469,103.8860009511312,54.54721323649088,9.233354894433727,2.1486027462646433,4.039235130900667,0.041969550865533244,-0.17653033712470984
AB SEB BANKAS,VILNIUS,2022,0.883674236,8.542481629,0.709071193,56.8942862,1.075657026,1.069271493,12.49574747,0.192105081,11064.677,9777.57,3.912699391,,,,3.122957375,9.903684152631579,2022-06-16 12:00:00,157.5831934611003,199.2730185190836,124.7958981196086,9.311513060915836,2.1450515544635866,4.041194917812352,-0.3437993442329733,-0.12366679557369045
AB SEB BANKAS,VILNIUS,2023,0.844913878,7.522593618,0.656036156,50.1044763,0.856919136,1.398019278,17.50732026,0.175949534,13321.682,11255.674,3.925922718,,,,-0.5379984658333333,5.977745703,2023-06-16 12:00:00,121.7001794179281,133.942325592041,116.1908276875814,9.497148212398479,2.0179109745094297,3.9141103514049758,-0.42153937570321237,-0.16852057634573836
ABANCA CORPORACION BANCARIA SA,BETANZOS,2017,0.724360017,9.045926033,3.813173442,60.29321194,7.610029113,0.722067324,8.142996777,0.698399775,45138.408,32696.458,2.534399028,,,,3.413880947789474,1.650400191421053,2017-06-16 12:00:00,107.377311706543,117.4666633605957,93.90502103169759,10.717488781694653,2.2023144942590114,4.099219525920542,1.3384617668590197,-0.32246674914000234
ABANCA CORPORACION BANCARIA SA,BETANZOS,2018,0.654909146,8.083951378,2.698591242,56.452429,5.231272184,0.765349152,8.965473699,0.047084177,50784.348,33259.134,5.236156705,,,,2.726027871052632,1.703560482631579,2018-06-16 12:00:00,98.5529073079427,122.8477579752604,65.44431845347087,10.835343475854641,2.0898807849265526,4.033398318899347,0.992729874622787,-0.423258761364731
ABANCA CORPORACION BANCARIA SA,BETANZOS,2019,0.676662093,8.754837967,1.992984413,59.16071613,3.554217654,0.845885196,10.04608575,0.070577825,50982.417,34497.869,4.912877707,,,,2.222830119736842,1.440696388105263,2019-06-16 12:00:00,90.94625282287598,112.7704283396403,60.5952517191569,10.839236087555566,2.1696064580851107,4.080257742738908,0.6896332203270188,-0.3905832547505571
